Package size[B],Number of sends,Performance[Mb/s],Delay[s]
1600,50000,30.97559235707362,0.0004132285785675049
3200,50000,153.1681030984171,0.00016713662624359132
4800,50000,217.0129937692055,0.00017694792985916137
6400,50000,257.4970798289832,0.00019883720636367798
8000,50000,361.4663701651456,0.00017705658197402955
9600,50000,383.7844319955496,0.00020011233806610108
11200,50000,530.0091859321287,0.00016905367374420166
12800,50000,531.9313575192247,0.00019250604152679443
14400,50000,631.1581974840215,0.00018252159357070924
16000,50000,698.2632929761064,0.00018331194162368773
17600,50000,710.4964379652678,0.00019817129611968994
19200,50000,831.7726028324716,0.00018466585636138917
20800,50000,829.1270182190805,0.0002006930136680603
22400,50000,910.2809230975862,0.00019686230421066283
24000,50000,948.993938860291,0.0002023195219039917
25600,50000,955.4465743464668,0.0002143500280380249
27200,50000,984.2134284317788,0.00022109025716781616
28800,50000,1108.943981570166,0.00020776522874832153
30400,50000,1120.4069996153805,0.00021706397771835328
32000,50000,1263.8631083700686,0.00020255358219146727
