Package size[B],Number of sends,Performance[Mb/s],Delay[s]
1600,50000,42.56116983489605,0.000300743613243103
3200,50000,78.72210776586181,0.0003251945447921753
4800,50000,114.03899049059984,0.0003367269372940063
6400,50000,126.81552333979087,0.0004037360620498657
8000,50000,169.01532369208124,0.0003786638903617859
9600,50000,174.5314759029837,0.000440035240650177
11200,50000,212.98910038947497,0.00042067880392074585
12800,50000,221.44401695885333,0.0004624193572998047
14400,50000,267.7854217656318,0.0004301951885223389
16000,50000,327.95905544409425,0.0003902926230430603
17600,50000,307.9458860032683,0.0004572231888771057
19200,50000,388.43197562848593,0.0003954360342025757
20800,50000,370.6983168411527,0.0004488825345039368
22400,50000,668.6346077108567,0.00026800886154174807
24000,50000,453.1304426356757,0.00042371904850006104
25600,50000,734.1176280760852,0.0002789743661880493
27200,50000,416.5245478841613,0.0005224181890487671
28800,50000,802.125059800326,0.0002872370052337646
30400,50000,796.937502881419,0.0003051682209968567
32000,50000,497.6997908829168,0.0005143663001060486
